wind speed,Developed High Intensity,Developed Medium Intensity,Developed Low Intensity,Developed Open Space,Pasture Hay,Cultivated Crops,Deciduous Forest,Evergreen Forest,Mixed Forest,Grasslands,Shrub,Barren Land,Woody Wetlands,Open Water,Open Water
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,5e-05,0.00012,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0
28,0.0,0.0,7.500000000000001e-05,0.00017999999999999998,0.00575,0.00575,0.0,0.0,0.0,0.00575,0.00575,0.00575,0.00575,0.0,0.0
29,0.0,0.0,0.0001,0.00024,0.026000000000000002,0.026000000000000002,0.0,0.0,0.0,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.0,0.0
30,0.0,0.0,0.00025,0.0006,0.2525,0.2525,0.0,0.0,0.0,0.2525,0.2525,0.2525,0.2525,0.0,0.0
31,0.0,0.0,0.005000000000000001,0.012,0.55,0.55,0.0,0.0,0.0,0.55,0.55,0.55,0.55,0.0,0.0
32,0.0,0.0,0.015,0.036,1.25,1.25,0.0,0.0,0.0,1.25,1.25,1.25,1.25,0.0,0.0
33,5e-05,0.0001,0.0351,0.08413,2.85,2.85,0.0,0.0,0.0,2.85,2.85,2.85,2.85,0.0,0.0
34,7.500000000000001e-05,0.00015000000000000001,0.05015,0.120195,5.5,5.5,0.0,0.0,0.0,5.5,5.5,5.5,5.5,0.0,0.0
35,0.0001,0.0002,0.07520000000000002,0.18026,10.75,10.75,0.0,0.0,0.0,10.75,10.75,10.75,10.75,0.0,0.0
36,0.00025,0.0005,0.11549999999999999,0.27664999999999995,15.15,15.15,0.0,0.0,0.0,15.15,15.15,15.15,15.15,0.0,0.0
37,0.005000000000000001,0.010000000000000002,0.16000000000000003,0.373,20.5,20.5,0.0,0.0,0.0,20.5,20.5,20.5,20.5,0.0,0.0
