Year,Mean_Speed
1980,2.857050895690918
1981,3.025683879852295
1982,2.9108312129974365
1983,2.867068290710449
1984,2.901890516281128
1985,2.757051467895508
1986,2.716728925704956
1987,2.90836501121521
1988,2.9707508087158203
1989,2.8143820762634277
1990,2.886997938156128
1991,2.6991055011749268
1992,2.736208438873291
1993,3.115201950073242
1994,2.8950822353363037
1995,2.6587741374969482
1996,3.175241231918335
1997,3.012218713760376
1998,2.776545524597168
1999,3.013174295425415
2000,2.955782413482666
2001,2.7528560161590576
2002,2.7145540714263916
2003,2.705781936645508
2004,2.7589271068573
2005,3.0747413635253906
2006,2.5915095806121826
2007,3.018158197402954
2008,2.935901641845703
2009,2.876340389251709
2010,2.797410726547241
2011,3.1211278438568115
2012,2.776639938354492
2013,2.9230613708496094
2014,2.8504650592803955
2015,2.817476987838745
