Year,Mean Wind Speed
1980,5.392171382904053
1981,5.832064628601074
1982,5.87526273727417
1983,5.437371730804443
1984,5.393981456756592
1985,6.212461948394775
1986,5.541671276092529
1987,5.437216758728027
1988,5.54303503036499
1989,5.293954372406006
1990,5.267162799835205
1991,5.188236236572266
1992,5.421572685241699
1993,5.379560947418213
1994,5.498291969299316
1995,5.375301361083984
1996,5.866461753845215
1997,5.663700103759766
1998,5.0125932693481445
1999,5.528472423553467
2000,5.465066909790039
2001,5.5123701095581055
2002,5.426190376281738
2003,5.9125471115112305
2004,5.8217878341674805
2005,5.275872230529785
2006,5.651573657989502
2007,5.81350564956665
2008,5.636834144592285
2009,5.448063373565674
2010,5.7737040519714355
2011,5.643162727355957
2012,5.364841938018799
2013,5.65114688873291
2014,5.51891565322876
2015,5.473649501800537
